bash,
bash_history,
bencode,
czip,
dockerjson,
dpkg,
filestat,
mcafee_protection,
olecf,
pls_recall,
popularity_contest,
selinux,
sophos_av,
sqlite,
symantec_scanlog,
syslog,
systemd_journal,
utmp,
webhist,
xchatlog,
xchatscrollback,
zsh_extended_history
